gugun,dong,month,age_group,population
강남구,개포1동,01,0_9,1412
강남구,개포1동,01,10_19,2174
강남구,개포1동,01,20_29,1590
강남구,개포1동,01,30_39,1753
강남구,개포1동,01,40_49,3176
강남구,개포1동,01,50_59,2612
강남구,개포1동,01,60_69,2356
강남구,개포1동,01,70_plus,1799
강남구,개포1동,02,0_9,2112
강남구,개포1동,02,10_19,2802
강남구,개포1동,02,20_29,2006
강남구,개포1동,02,30_39,2419
강남구,개포1동,02,40_49,4242
강남구,개포1동,02,50_59,3326
강남구,개포1동,02,60_69,2844
강남구,개포1동,02,70_plus,2102
강남구,개포1동,03,0_9,2202
강남구,개포1동,03,10_19,2912
강남구,개포1동,03,20_29,2188
강남구,개포1동,03,30_39,2659
강남구,개포1동,03,40_49,4427
강남구,개포1동,03,50_59,3538
강남구,개포1동,03,60_69,3063
강남구,개포1동,03,70_plus,2230
강남구,개포1동,04,0_9,2248
강남구,개포1동,04,10_19,3024
강남구,개포1동,04,20_29,2280
강남구,개포1동,04,30_39,2784
강남구,개포1동,04,40_49,4565
강남구,개포1동,04,50_59,3714
강남구,개포1동,04,60_69,3167
강남구,개포1동,04,70_plus,2326
강남구,개포1동,05,0_9,2324
강남구,개포1동,05,10_19,3094
강남구,개포1동,05,20_29,2340
강남구,개포1동,05,30_39,2924
강남구,개포1동,05,40_49,4703
강남구,개포1동,05,50_59,3804
강남구,개포1동,05,60_69,3221
강남구,개포1동,05,70_plus,2412
강남구,개포1동,06,0_9,2365
강남구,개포1동,06,10_19,3159
강남구,개포1동,06,20_29,2376
강남구,개포1동,06,30_39,2991
강남구,개포1동,06,40_49,4798
강남구,개포1동,06,50_59,3862
강남구,개포1동,06,60_69,3267
강남구,개포1동,06,70_plus,2451
강남구,개포1동,07,0_9,2408
강남구,개포1동,07,10_19,3225
강남구,개포1동,07,20_29,2380
강남구,개포1동,07,30_39,3043
강남구,개포1동,07,40_49,4907
강남구,개포1동,07,50_59,3904
강남구,개포1동,07,60_69,3291
강남구,개포1동,07,70_plus,2472
강남구,개포1동,08,0_9,2419
강남구,개포1동,08,10_19,3298
강남구,개포1동,08,20_29,2410
강남구,개포1동,08,30_39,3072
강남구,개포1동,08,40_49,4987
강남구,개포1동,08,50_59,3955
강남구,개포1동,08,60_69,3301
강남구,개포1동,08,70_plus,2505
강남구,개포1동,09,0_9,2410
강남구,개포1동,09,10_19,3339
강남구,개포1동,09,20_29,2417
강남구,개포1동,09,30_39,3083
강남구,개포1동,09,40_49,5003
강남구,개포1동,09,50_59,4004
강남구,개포1동,09,60_69,3314
강남구,개포1동,09,70_plus,2524
강남구,개포1동,10,0_9,2407
강남구,개포1동,10,10_19,3373
강남구,개포1동,10,20_29,2419
강남구,개포1동,10,30_39,3088
강남구,개포1동,10,40_49,5027
강남구,개포1동,10,50_59,4034
강남구,개포1동,10,60_69,3326
강남구,개포1동,10,70_plus,2549
강남구,개포1동,11,0_9,2399
강남구,개포1동,11,10_19,3396
강남구,개포1동,11,20_29,2411
강남구,개포1동,11,30_39,3094
강남구,개포1동,11,40_49,5047
강남구,개포1동,11,50_59,4050
강남구,개포1동,11,60_69,3342
강남구,개포1동,11,70_plus,2558
강남구,개포2동,01,0_9,3634
강남구,개포2동,01,10_19,5143
강남구,개포2동,01,20_29,4640
강남구,개포2동,01,30_39,6189
강남구,개포2동,01,40_49,7527
강남구,개포2동,01,50_59,6693
강남구,개포2동,01,60_69,4667
강남구,개포2동,01,70_plus,3213
강남구,개포2동,02,0_9,3643
강남구,개포2동,02,10_19,5156
강남구,개포2동,02,20_29,4614
강남구,개포2동,02,30_39,6133
강남구,개포2동,02,40_49,7588
강남구,개포2동,02,50_59,6684
강남구,개포2동,02,60_69,4655
강남구,개포2동,02,70_plus,3232
강남구,개포2동,03,0_9,3627
강남구,개포2동,03,10_19,5151
강남구,개포2동,03,20_29,4592
강남구,개포2동,03,30_39,6139
강남구,개포2동,03,40_49,7587
강남구,개포2동,03,50_59,6695
강남구,개포2동,03,60_69,4679
강남구,개포2동,03,70_plus,3268
강남구,개포2동,04,0_9,3639
강남구,개포2동,04,10_19,5137
강남구,개포2동,04,20_29,4577
강남구,개포2동,04,30_39,6184
강남구,개포2동,04,40_49,7558
강남구,개포2동,04,50_59,6697
강남구,개포2동,04,60_69,4694
강남구,개포2동,04,70_plus,3290
강남구,개포2동,05,0_9,3644
강남구,개포2동,05,10_19,5116
강남구,개포2동,05,20_29,4557
강남구,개포2동,05,30_39,6201
강남구,개포2동,05,40_49,7567
강남구,개포2동,05,50_59,6724
