gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
2024,가락1동,32758,30623,26714,50816,55699,39472,39424,25811
2024,가락2동,21679,34786,43103,50808,55034,55827,48445,31698
2024,가락본동,14429,17406,37575,48855,38749,45747,44096,28231
2024,가리봉동,1852,2523,17379,16199,9521,17003,17382,14330
2024,가산동,6075,6512,77196,74723,31057,29880,28604,20397
2024,가양제1동,14433,17985,83829,98962,48603,44860,39584,22597
2024,가양제2동,4528,4173,13912,24084,14869,17431,34376,33244
2024,가양제3동,6630,4155,13542,31382,19386,20029,28796,29347
2024,가회동,1669,3347,4378,5611,6686,7572,6001,6845
2024,갈현제1동,4854,10265,22609,22428,20709,27393,25974,23368
2024,갈현제2동,11191,23401,42416,39274,43671,54173,45887,40935
2024,강일동,34614,40995,38277,48685,62849,56307,55498,43342
2024,개봉제1동,20837,23256,42122,55573,49733,59721,59890,51205
2024,개봉제2동,17510,21839,35011,42596,47246,52249,55913,52110
2024,개봉제3동,9015,13838,23026,26783,30460,37347,39188,33843
2024,개포1동,24706,33796,24817,30910,50882,40803,34492,25928
2024,개포2동,39868,56797,50225,68307,83387,74060,51983,36739
2024,개포3동,10903,17841,17471,26378,31814,26632,26138,26941
2024,개포4동,16535,23018,31331,39460,41105,43143,35024,24659
2024,거여1동,5076,8849,16860,18283,17110,23577,21990,18938
2024,거여2동,18793,18920,26570,37960,38975,44145,39744,32748
2024,고덕제1동,22414,43966,21158,25907,58181,37950,31557,21464
2024,고덕제2동,28678,29640,24709,40459,52913,38691,33666,22750
2024,고척제1동,18582,20038,35910,56900,40008,44408,41280,34963
2024,고척제2동,13437,22102,33006,33163,38595,51777,46816,42874
2024,공덕동,19903,22822,62283,71356,54615,67278,54708,46635
2024,공릉1동,15464,26949,72999,53676,53300,60119,60488,51349
2024,공릉2동,30907,45612,75131,60017,71443,70921,57452,43943
2024,공항동,29309,25495,39762,53266,57054,45438,40932,32433
2024,광장동,26273,58197,41658,36880,74043,66824,39065,29787
2024,광희동,1345,2013,13240,13995,7340,8175,9280,8342
2024,교남동,8023,8394,12114,15494,18483,17919,13161,12589
2024,구로제1동,16729,20660,26140,39653,38236,33232,30898,19734
2024,구로제2동,6741,12583,30235,29991,29165,46271,45872,44399
2024,구로제3동,10042,14353,46520,50598,40572,34947,29508,27771
2024,구로제4동,6041,9522,26402,30204,25094,33828,34577,37077
2024,구로제5동,16342,15116,53253,62899,42633,47896,43897,38172
2024,구산동,13492,26904,45279,41452,48422,62187,56710,49233
2024,구의제1동,8927,12745,52174,49954,34891,38168,31507,25180
2024,구의제2동,13745,23220,35422,39833,43110,48917,42065,34203
2024,구의제3동,16875,25018,43784,49404,44843,51234,41876,32668
2024,군자동,6827,10343,45639,37777,26753,28531,28201,23997
2024,금호1가동,11506,11304,16272,25282,27141,25556,23722,20593
2024,금호2.3가동,16654,13587,26384,41518,38371,38588,33909,30230
2024,금호4가동,12779,10115,14044,25728,28094,23422,21496,19344
2024,길동,22644,29367,69750,82587,72434,79875,83535,63565
2024,길음제1동,31244,55187,38579,40762,78513,66001,39060,36852
2024,길음제2동,21676,22568,26753,30491,42187,40460,28546,23062
2024,낙성대동,5461,8845,63608,44129,19891,18617,15103,16159
2024,난곡동,8787,16935,37502,37945,35666,47956,47453,43394
2024,난향동,8772,15005,17293,17276,26782,30171,24089,22069
2024,남가좌제1동,20695,20765,16723,24382,37508,26551,19419,17427
2024,남가좌제2동,24541,26545,44281,44229,51290,49827,38365,39662
2024,남영동,1383,2413,8399,11355,8874,15840,16090,10403
2024,남현동,7521,7729,40965,40789,23259,26180,24889,22776
2024,내곡동,14737,17641,17452,25076,31700,26950,27960,25634
2024,노량진제1동,16474,19817,65315,66111,44856,50108,48861,45826
2024,노량진제2동,1699,3260,19734,18473,10959,13846,15791,14501
2024,녹번동,22025,22998,48411,61832,58196,64019,59707,57336
2024,논현1동,5642,8967,41656,56625,39583,30569,23704,22729
2024,논현2동,9029,13126,33961,44787,39648,33505,24239,24854
2024,능동,4599,5352,23957,27067,17567,15922,14131,12583
2024,다산동,4592,7400,21961,23751,18685,23575,22946,21846
2024,답십리제1동,24413,21022,41617,53291,51065,44215,38673,31621
2024,답십리제2동,16967,18450,33972,46785,40892,49841,48835,44530
2024,당산제1동,10553,9832,39959,55960,29800,31427,28968,26119
2024,당산제2동,25323,25134,72951,90352,57668,51227,42983,36792
2024,대림제1동,7192,8174,19429,19802,19416,25513,25061,25516
2024,대림제2동,3473,5269,19488,20613,14963,21289,20446,23039
2024,대림제3동,10087,12659,29428,34615,28732,41869,42720,35456
2024,대방동,17037,38975,65723,55014,60157,63465,46510,44165
2024,대조동,9660,15119,55292,55775,38378,44922,40783,41449
2024,대치1동,17032,59048,24105,14512,59197,45094,23365,20177
2024,대치2동,24671,74992,41935,36460,82041,72457,48541,39496
2024,대치4동,5974,23796,32371,33963,36683,36931,17619,15956
2024,대학동,5677,10158,70980,55395,36708,36744,28265,24218
2024,대흥동,5909,9565,39985,27203,21177,22460,16745,15089
