gugun,dong,0_9,10_19,20_29,30_39,40_49,50_59,60_69,70_plus
강남구,개포1동,2246.0,3072.0,2256.0,2810.0,4626.0,3709.0,3136.0,2357.0
강남구,개포2동,3624.0,5163.0,4566.0,6210.0,7581.0,6733.0,4726.0,3340.0
강남구,개포3동,991.0,1622.0,1588.0,2398.0,2892.0,2421.0,2376.0,2449.0
강남구,개포4동,1503.0,2093.0,2848.0,3587.0,3737.0,3922.0,3184.0,2242.0
강남구,논현1동,513.0,815.0,3787.0,5148.0,3598.0,2779.0,2155.0,2066.0
강남구,논현2동,821.0,1193.0,3087.0,4072.0,3604.0,3046.0,2204.0,2259.0
강남구,대치1동,1548.0,5368.0,2191.0,1319.0,5382.0,4099.0,2124.0,1834.0
강남구,대치2동,2243.0,6817.0,3812.0,3315.0,7458.0,6587.0,4413.0,3591.0
강남구,대치4동,543.0,2163.0,2943.0,3088.0,3335.0,3357.0,1602.0,1451.0
강남구,도곡1동,1377.0,2399.0,2421.0,2781.0,3665.0,3295.0,2562.0,2023.0
강남구,도곡2동,2403.0,4670.0,3433.0,3022.0,6051.0,5514.0,3644.0,3646.0
강남구,삼성1동,638.0,1100.0,1512.0,1712.0,1878.0,1993.0,1663.0,1526.0
강남구,삼성2동,1894.0,3508.0,3792.0,4679.0,6060.0,5055.0,2629.0,2875.0
강남구,세곡동,3449.0,5069.0,5400.0,7406.0,7954.0,6305.0,5461.0,4887.0
강남구,수서동,509.0,486.0,1071.0,1864.0,1561.0,1788.0,3161.0,3405.0
강남구,신사동,828.0,1473.0,1883.0,2015.0,2458.0,2597.0,1809.0,2309.0
강남구,압구정동,1762.0,2657.0,2726.0,2777.0,4234.0,4262.0,3174.0,3942.0
강남구,역삼1동,800.0,1292.0,6639.0,9649.0,6096.0,4261.0,3005.0,2491.0
강남구,역삼2동,2083.0,5797.0,4388.0,4474.0,8229.0,6040.0,2563.0,2732.0
강남구,일원1동,547.0,941.0,1879.0,2136.0,1977.0,2081.0,2501.0,2319.0
강남구,일원본동,1703.0,3252.0,2190.0,2553.0,4277.0,3588.0,3015.0,2099.0
강남구,청담동,1597.0,2185.0,3083.0,3632.0,4363.0,3995.0,2994.0,2596.0
강동구,강일동,3147.0,3727.0,3480.0,4426.0,5714.0,5119.0,5045.0,3940.0
강동구,고덕1동,2038.0,3997.0,1923.0,2355.0,5289.0,3450.0,2869.0,1951.0
강동구,고덕2동,2607.0,2695.0,2246.0,3678.0,4810.0,3517.0,3061.0,2068.0
강동구,길동,2059.0,2670.0,6341.0,7508.0,6585.0,7261.0,7594.0,5779.0
강동구,둔촌1동,12.0,24.0,19.0,39.0,42.0,30.0,24.0,10.0
강동구,둔촌2동,1484.0,1813.0,3014.0,3712.0,3504.0,3841.0,3905.0,2872.0
강동구,명일1동,1959.0,2328.0,2646.0,3627.0,4129.0,3898.0,3720.0,2770.0
강동구,명일2동,916.0,2334.0,2049.0,1808.0,2895.0,2650.0,2490.0,1754.0
강동구,상일동,5594.0,6568.0,4974.0,6876.0,10133.0,7455.0,6449.0,4421.0
강동구,성내1동,1253.0,1574.0,2418.0,2968.0,3182.0,2963.0,2717.0,2212.0
강동구,성내2동,841.0,1028.0,3991.0,4530.0,3102.0,3452.0,3756.0,3125.0
강동구,성내3동,949.0,1463.0,3120.0,3339.0,3293.0,3761.0,3497.0,2793.0
강동구,암사1동,1632.0,2296.0,4166.0,4843.0,5027.0,5760.0,5404.0,4390.0
강동구,암사2동,1076.0,961.0,1699.0,2646.0,2273.0,2224.0,2071.0,1756.0
강동구,암사3동,1466.0,1961.0,1734.0,2027.0,3094.0,2613.0,2380.0,1889.0
강동구,천호1동,1058.0,1486.0,3198.0,3827.0,3604.0,4323.0,4572.0,3696.0
강동구,천호2동,1390.0,1587.0,4557.0,6068.0,4723.0,5075.0,5171.0,4198.0
강동구,천호3동,1072.0,1067.0,4348.0,5140.0,3502.0,3813.0,4113.0,3194.0
강북구,미아동,527.0,1102.0,3459.0,2665.0,2558.0,3513.0,3563.0,3303.0
강북구,번1동,442.0,823.0,2722.0,2404.0,2354.0,2778.0,2520.0,2480.0
강북구,번2동,464.0,810.0,1762.0,1571.0,1900.0,2503.0,2714.0,3020.0
강북구,번3동,628.0,1110.0,1630.0,1595.0,2035.0,2754.0,2704.0,3719.0
강북구,삼각산동,2153.0,3748.0,3240.0,3145.0,5451.0,5644.0,3676.0,3343.0
강북구,삼양동,962.0,1568.0,2752.0,2655.0,3069.0,4213.0,3831.0,3542.0
강북구,송중동,1210.0,1806.0,3681.0,3666.0,3964.0,4894.0,4778.0,4274.0
강북구,송천동,688.0,1289.0,2867.0,2878.0,3045.0,4489.0,4742.0,4357.0
강북구,수유1동,681.0,1206.0,2709.0,2625.0,2575.0,3287.0,3462.0,3190.0
강북구,수유2동,790.0,1206.0,2472.0,2333.0,2649.0,3552.0,3656.0,3708.0
강북구,수유3동,544.0,995.0,4161.0,3349.0,2849.0,3886.0,3706.0,3419.0
강북구,우이동,790.0,1225.0,2279.0,2349.0,2553.0,3538.0,3437.0,3595.0
강북구,인수동,1078.0,1893.0,3353.0,3409.0,3765.0,4979.0,5218.0,5116.0
강서구,가양1동,1312.0,1635.0,7621.0,8997.0,4418.0,4078.0,3599.0,2054.0
