period,deal_ym,percentile,percentile_label,threshold_price_manwon,count_above_threshold,total_count,ratio
전체,,1,상위 1%,352023.12138728326,431,42954,1.0033989849606555
전체,,2,상위 2%,319219.8259825987,860,42954,2.002141826139591
전체,,3,상위 3%,298500.0998352718,1289,42954,3.0008846673185268
전체,,4,상위 4%,281419.85966420657,1719,42954,4.001955580388322
전체,,5,상위 5%,269291.2359958067,2148,42954,5.000698421567258
전체,,6,상위 6%,257304.42978322337,2579,42954,6.004097406527913
전체,,7,상위 7%,246399.8883983602,3007,42954,7.000512175815989
전체,,8,상위 8%,237288.1355932204,3438,42954,8.003911160776644
전체,,9,상위 9%,229121.86552056207,3866,42954,9.00032593006472
전체,,10,상위 10%,222431.4463928445,4297,42954,10.003724915025376
전체,,11,상위 11%,215496.67751685999,4725,42954,11.000139684313453
전체,,12,상위 12%,208668.8447374215,5155,42954,12.001210597383247
전체,,13,상위 13%,202860.32124853157,5584,42954,12.999953438562184
전체,,14,상위 14%,198142.38159929885,6014,42954,14.001024351631978
전체,,15,상위 15%,193143.34343151667,6443,42954,14.999767192810914
전체,,16,상위 16%,187985.8657243816,6875,42954,16.00549424966243
전체,,17,상위 17%,183460.2443775456,7304,42954,17.004237090841364
전체,,18,상위 18%,179648.23221390726,7732,42954,18.00065186012944
전체,,19,상위 19%,176009.9942175743,8162,42954,19.001722773199237
전체,,20,상위 20%,172957.65255085027,8592,42954,20.002793686269033
전체,,21,상위 21%,169232.7496551526,9021,42954,21.001536527447968
전체,,22,상위 22%,167094.10434693916,9450,42954,22.000279368626906
전체,,23,상위 23%,164154.1038525963,9882,42954,23.006006425478418
전체,,24,상위 24%,161294.88266892848,10310,42954,24.002421194766494
전체,,25,상위 25%,158924.81135393333,10739,42954,25.00116403594543
전체,,26,상위 26%,156233.48709214013,11168,42954,25.999906877124367
전체,,27,상위 27%,153881.12277085497,11598,42954,27.000977790194163
전체,,28,상위 28%,151662.16169403796,12027,42954,27.999720631373098
전체,,29,상위 29%,149405.72573006342,12457,42954,29.000791544442894
전체,,30,상위 30%,147403.4368505403,12886,42954,29.99953438562183
전체,,31,상위 31%,145589.645348266,13316,42954,31.000605298691625
전체,,32,상위 32%,143350.24348661627,13745,42954,31.99934813987056
전체,,33,상위 33%,141358.05883328998,14177,42954,33.005075196722075
전체,,34,상위 34%,139303.48258706467,14607,42954,34.00614610979187
