period,deal_ym,percentile,percentile_label,threshold_price_manwon,count_above_threshold,total_count,ratio
전체,,1,상위 1%,219655.14728388362,4546,454571,1.0000637964146415
전체,,2,상위 2%,175458.9837560712,9092,454571,2.000127592829283
전체,,3,상위 3%,152619.8043342585,13638,454571,3.0001913892439247
전체,,4,상위 4%,136958.75853194486,18183,454571,4.0000351980218705
전체,,5,상위 5%,125331.00506202248,22729,454571,5.000098994436512
전체,,6,상위 6%,116729.57719570707,27275,454571,6.000162790851154
전체,,7,상위 7%,109272.84856571048,31824,454571,7.00088655017588
전체,,8,상위 8%,102989.65496146376,36366,454571,8.000070396043741
전체,,9,상위 9%,97475.4836094512,40912,454571,9.000134192458384
전체,,10,상위 10%,92477.06422018349,45460,454571,10.000637964146415
전체,,11,상위 11%,88467.87479406918,50007,454571,11.00092174819775
전체,,12,상위 12%,84825.78691332201,54549,454571,12.000105594065612
전체,,13,상위 13%,82037.81364284604,59096,454571,13.00038937811695
전체,,14,상위 14%,79121.25526715795,63640,454571,14.000013199258202
전체,,15,상위 15%,76530.31698934434,68186,454571,15.000076995672842
전체,,16,상위 16%,74016.24496261276,72732,454571,16.000140792087482
전체,,17,상위 17%,71588.42696496651,77277,454571,16.99998460086543
전체,,18,상위 18%,69478.90818858561,81825,454571,18.000488372553463
전체,,19,상위 19%,67571.53466739152,86369,454571,19.000112193694715
전체,,20,상위 20%,65728.21815771615,90915,454571,20.000175990109355
전체,,21,상위 21%,63860.56310131863,95461,454571,21.000239786524
전체,,22,상위 22%,62280.29206357255,100006,454571,22.000083595301945
전체,,23,상위 23%,60743.43504341278,104552,454571,23.000147391716585
전체,,24,상위 24%,59329.01706886404,109107,454571,24.002191076861482
전체,,25,상위 25%,58207.82039756456,113643,454571,25.00005499690917
전체,,26,상위 26%,56883.75927452597,118190,454571,26.000338780960508
전체,,27,상위 27%,55684.35523748994,122734,454571,26.999962602101764
전체,,28,상위 28%,54408.81471373797,127280,454571,28.000026398516404
전체,,29,상위 29%,53281.15959199132,131826,454571,29.000090194931044
전체,,30,상위 30%,52196.11848825331,136374,454571,30.00059396661908
전체,,31,상위 31%,51116.52767728231,140918,454571,31.000217787760327
