sido,gugun,dong,deal_ym,aptcode,price_84m2,built_date,households
서울특별시,강남구,개포동,202401,A10023348,302476,2023-02-28,3375.0
서울특별시,강남구,개포동,202401,A10023996,173294,2021-12-01,232.0
서울특별시,강남구,개포동,202401,A10024564,254736,2020-09-28,2296.0
서울특별시,강남구,개포동,202401,A10025203,301158,2019-08-29,1320.0
서울특별시,강남구,개포동,202401,A10025675,274747,2019-02-26,1957.0
서울특별시,강남구,개포동,202401,A13524006,179683,1986-01-31,558.0
서울특별시,강남구,개포동,202401,A13524009,243860,1992-10-14,1753.0
서울특별시,강남구,개포동,202401,A13580001,165658,1986-03-31,198.0
서울특별시,강남구,개포동,202401,A13580602,156749,1984-03-08,678.0
서울특별시,강남구,개포동,202401,A13594007,213614,1992-10-14,822.0
서울특별시,강남구,개포동,202401,A13599301,286745,1983-10-26,900.0
서울특별시,강남구,개포동,202401,A13599402,334549,1983-10-26,940.0
서울특별시,강남구,개포동,202402,A10024564,259801,2020-09-28,2296.0
서울특별시,강남구,개포동,202402,A10025203,301347,2019-08-29,1320.0
서울특별시,강남구,개포동,202402,A10025675,274909,2019-02-26,1957.0
서울특별시,강남구,개포동,202402,A13524009,230756,1992-10-14,1753.0
서울특별시,강남구,개포동,202402,A13580602,207810,1984-03-08,678.0
서울특별시,강남구,개포동,202402,A13594007,244363,1992-10-14,822.0
서울특별시,강남구,개포동,202402,A13599301,262245,1983-10-26,900.0
서울특별시,강남구,개포동,202402,A13599303,268541,1983-10-26,1060.0
서울특별시,강남구,개포동,202403,A10023996,190527,2021-12-01,232.0
서울특별시,강남구,개포동,202403,A10024564,256759,2020-09-28,2296.0
서울특별시,강남구,개포동,202403,A10025203,278803,2019-08-29,1320.0
서울특별시,강남구,개포동,202403,A10025675,274035,2019-02-26,1957.0
서울특별시,강남구,개포동,202403,A13524006,172365,1986-01-31,558.0
서울특별시,강남구,개포동,202403,A13524009,226086,1992-10-14,1753.0
서울특별시,강남구,개포동,202403,A13580002,210483,1987-09-21,261.0
서울특별시,강남구,개포동,202403,A13580602,170570,1984-03-08,678.0
서울특별시,강남구,개포동,202403,A13594007,233967,1992-10-14,822.0
서울특별시,강남구,개포동,202403,A13599301,270496,1983-10-26,900.0
서울특별시,강남구,개포동,202403,A13599303,271939,1983-10-26,1060.0
서울특별시,강남구,개포동,202403,A13599402,280560,1983-10-26,940.0
서울특별시,강남구,개포동,202404,A10024564,262676,2020-09-28,2296.0
서울특별시,강남구,개포동,202404,A10025203,297402,2019-08-29,1320.0
서울특별시,강남구,개포동,202404,A10025675,276375,2019-02-26,1957.0
서울특별시,강남구,개포동,202404,A13524009,238296,1992-10-14,1753.0
서울특별시,강남구,개포동,202404,A13580602,200776,1984-03-08,678.0
서울특별시,강남구,개포동,202404,A13594007,229600,1992-10-14,822.0
서울특별시,강남구,개포동,202404,A13599303,258643,1983-10-26,1060.0
서울특별시,강남구,개포동,202404,A13599402,275748,1983-10-26,940.0
서울특별시,강남구,개포동,202405,A10023996,182593,2021-12-01,232.0
