sido,gugun,dong,jibun,complex_name,area_m2,deal_ym,deal_day,price_만원,floor,built_year,deal_date,행정동+단지명
서울특별시,동대문구,휘경동,57,주공2,39.98,202412,28,49000,6,2001,2024-12-28,휘경동주공2
서울특별시,노원구,하계동,284,한신1,27.0,202412,23,29000,11,1988,2024-12-23,하계동한신1
서울특별시,동대문구,휘경동,57,주공2,39.98,202412,20,46000,16,2001,2024-12-20,휘경동주공2
서울특별시,동작구,사당동,105,극동(105),84.32,202412,20,85000,20,1993,2024-12-20,극동(105)
서울특별시,동작구,사당동,105,신동아4,59.89,202412,14,102000,5,1993,2024-12-14,사당동신동아4
서울특별시,동대문구,휘경동,57,주공1,84.84,202412,14,80000,3,2001,2024-12-14,휘경동주공1
서울특별시,노원구,하계동,284,한신2,44.52,202412,13,46750,3,1988,2024-12-13,하계동한신2
서울특별시,강남구,개포동,12,성원대치2단지아파트,49.86,202412,11,150000,6,1992,2024-12-11,성원대치2단지아파트
서울특별시,동작구,사당동,105,사당우성3,84.66,202412,7,117000,3,1993,2024-12-07,사당우성3
서울특별시,동대문구,휘경동,57,주공1,84.84,202412,7,73700,1,2001,2024-12-07,휘경동주공1
서울특별시,동대문구,휘경동,57,주공2,39.98,202412,7,42900,2,2001,2024-12-07,휘경동주공2
서울특별시,강남구,개포동,12,삼익대청아파트,39.53,202411,30,121000,4,1992,2024-11-30,삼익대청아파트
서울특별시,강남구,개포동,12,삼익대청아파트,51.12,202411,27,150000,6,1992,2024-11-27,삼익대청아파트
서울특별시,노원구,하계동,284,한신1,27.0,202411,27,30000,10,1988,2024-11-27,하계동한신1
서울특별시,동대문구,휘경동,57,주공1,84.84,202411,23,78000,4,2001,2024-11-23,휘경동주공1
서울특별시,동대문구,휘경동,57,주공1,114.73,202411,23,88500,12,2001,2024-11-23,휘경동주공1
서울특별시,동대문구,휘경동,57,주공2,39.98,202411,23,47000,14,2001,2024-11-23,휘경동주공2
서울특별시,노원구,하계동,284,한신1,44.52,202411,23,48000,7,1988,2024-11-23,하계동한신1
서울특별시,동작구,사당동,105,사당우성2,59.89,202411,23,102500,3,1993,2024-11-23,사당우성2
서울특별시,동작구,사당동,105,극동(105),51.57,202411,23,87500,8,1993,2024-11-23,극동(105)
서울특별시,노원구,하계동,284,한신1,27.0,202411,19,30000,6,1988,2024-11-19,하계동한신1
서울특별시,동작구,사당동,105,사당우성2,84.66,202411,17,125500,15,1993,2024-11-17,사당우성2
서울특별시,동작구,사당동,105,극동(105),110.14,202411,17,118000,13,1993,2024-11-17,극동(105)
서울특별시,동작구,사당동,105,사당우성2,59.89,202411,16,104000,15,1993,2024-11-16,사당우성2
서울특별시,강남구,개포동,12,성원대치2단지아파트,49.86,202411,16,153000,14,1992,2024-11-16,성원대치2단지아파트
서울특별시,강남구,개포동,12,삼익대청아파트,39.53,202411,12,120500,15,1992,2024-11-12,삼익대청아파트
서울특별시,동대문구,휘경동,57,주공1,84.8,202411,11,79000,19,2001,2024-11-11,휘경동주공1
서울특별시,동작구,사당동,105,극동(105),51.57,202411,9,89000,9,1993,2024-11-09,극동(105)
서울특별시,광진구,광장동,218-1,극동1,84.55,202411,8,190000,13,1985,2024-11-08,극동1
서울특별시,강남구,개포동,12,삼익대청아파트,39.53,202411,8,121500,6,1992,2024-11-08,삼익대청아파트
서울특별시,동대문구,휘경동,57,주공1,114.96,202411,7,91000,17,2001,2024-11-07,휘경동주공1
서울특별시,노원구,하계동,284,청구,84.97,202411,5,85000,6,1988,2024-11-05,하계동청구
서울특별시,동작구,사당동,105,사당우성3,46.75,202411,5,55000,12,1993,2024-11-05,사당우성3
서울특별시,동작구,사당동,105,사당우성3,84.66,202411,2,107500,3,1993,2024-11-02,사당우성3
서울특별시,동작구,사당동,105,신동아4,59.89,202411,2,97000,11,1993,2024-11-02,사당동신동아4
서울특별시,동작구,사당동,105,사당우성2,46.75,202411,2,83000,2,1993,2024-11-02,사당우성2
