sido,gugun,dong,jibun,complex_name,area_m2,deal_ym,deal_day,price_만원,floor,built_year,deal_date,행정동+단지명,번호,k-아파트코드,지번주소,지번주소변경,complex_name_meta,실거래 아파트명,k-아파트명최종,매칭방법1,매칭방법2,"k-단지분류(아파트,주상복합등등)",특징1,특징2,comment,road_address,k-세대타입(분양형태),주소(시도)k-apt주소split,gugun_apt,dong_apt,addr_rest,addr_road_name,addr_road_detail,built_date_meta,k-전체동수,households_meta,coord_x,coord_y,k-전화번호,k-팩스번호,단지소개기존clob,단지첨부파일,k-관리방식,k-복도유형,k-난방방식,k-건설사(시공사),k-시행사,k-연면적,k-주거전용면적,k-관리비부과면적,k-전용면적별세대현황(60㎡이하),k-전용면적별세대현황(60㎡~85㎡이하),k-85㎡~135㎡이하,k-135㎡초과,k-홈페이지,k-등록일자,k-수정일자,고용보험관리번호,경비비관리형태,세대전기계약방법,청소비관리형태,건축면적,주차대수,기타/의무/임대/임의=1/2/3/4,단지승인일,사용허가여부,관리비 업로드,단지신청일,지번주소.1,jibun_apt,_merge
서울특별시,동대문구,휘경동,57,주공2,39.98,202412,28,49000,6,2001,2024-12-28,휘경동주공2,1396,A13087407,휘경동57,휘경동 57,휘경주공2단지,휘경동주공2,휘경주공2단지,단지명 매칭,동결합선행,아파트,동일주소,인접단지,단지명: 주공2->휘경주공2단지,서울특별시 동대문구 한천로 248,분양,서울,동대문구,휘경동,57,한천로,248,2001-11-15,7.0,800,127.0707607,37.5830037,222171045,222171046,,,위탁관리,복도식,개별난방,LH공사,LH공사,81686.0,39782.0,81686.0,800.0,0.0,0.0,,,,2025-07-27 04:22:59,,위탁,단일계약,위탁,0.0,714.0,의무,2017-08-24 13:54:27,Y,N,2013-03-07 09:46:31,휘경동 57,57,both
서울특별시,노원구,하계동,284,한신1,27.0,202412,23,29000,11,1988,2024-12-23,하계동한신1,1893,A13993503,하계동284,하계동 284,하계한신,하계동한신1,하계한신,단지명 매칭,동결합선행,아파트,동일주소,인접단지,"단지명: 한신1, 한신2->하계한신",서울특별시 노원구 공릉로 351,분양,서울,노원구,하계동,284,공릉로,351,1988-10-29,4.0,1200,127.068697,37.6377945,29726570,262216570,,,위탁관리,복도식,지역난방,한신공영,한신공영,55504.0,40914.0,54418.0,1200.0,0.0,0.0,,,,2025-07-27 04:44:12,21780003660,직영,단일계약,위탁,0.0,330.0,의무,2015-01-21 15:53:30,Y,N,2013-03-07 09:47:03,하계동 284,284,both
서울특별시,동대문구,휘경동,57,주공2,39.98,202412,20,46000,16,2001,2024-12-20,휘경동주공2,1396,A13087407,휘경동57,휘경동 57,휘경주공2단지,휘경동주공2,휘경주공2단지,단지명 매칭,동결합선행,아파트,동일주소,인접단지,단지명: 주공2->휘경주공2단지,서울특별시 동대문구 한천로 248,분양,서울,동대문구,휘경동,57,한천로,248,2001-11-15,7.0,800,127.0707607,37.5830037,222171045,222171046,,,위탁관리,복도식,개별난방,LH공사,LH공사,81686.0,39782.0,81686.0,800.0,0.0,0.0,,,,2025-07-27 04:22:59,,위탁,단일계약,위탁,0.0,714.0,의무,2017-08-24 13:54:27,Y,N,2013-03-07 09:46:31,휘경동 57,57,both
서울특별시,동작구,사당동,105,극동(105),84.32,202412,20,85000,20,1993,2024-12-20,극동(105),1624,A15681503,사당동105,사당동 105,사당극동,극동(105),사당극동,단지명 매칭,,아파트,동일주소,인접단지,단지명: 극동(105) ->,서울특별시 동작구 동작대로29길 119,분양,서울,동작구,사당동,105,동작대로29길,119,1993-12-21,12.0,1550,126.9764363,37.4886826,25957010,25999603,2060.0,,위탁관리,혼합식,중앙난방,극동건설,사당4-1구역 재개발조합,177942.0,137745.0,177544.0,476.0,360.0,714.0,,,,2025-07-27 05:37:10,90700069591,위탁,단일계약,위탁,0.0,1160.0,의무,2013-06-20 17:36:50,Y,N,2013-03-07 09:46:19,사당동 105,105,both
서울특별시,동작구,사당동,105,신동아4,59.89,202412,14,102000,5,1993,2024-12-14,사당동신동아4,1763,A15677204,사당동105,사당동 105,사당신동아4단지,사당동신동아4,사당신동아4단지,단지명 매칭,동결합선행,아파트,동일주소,인접단지,단지명: 신동아4 ->  . 단 길동 신동아4 하나 있음,서울특별시 동작구 동작대로29길 110,분양,서울,동작구,사당동,신동아4단지아파트,동작대로29길,110,1993-12-21,8.0,912,126.9764363,37.4886826,25951977,25353278,,,위탁관리,혼합식,중앙난방,신동아건설,...,91646.0,71938.0,91646.0,465.0,207.0,240.0,,,,2025-07-27 05:37:00,,직영,단일계약,위탁,0.0,613.0,의무,2015-10-05 14:00:17,Y,N,2013-03-07 09:46:39,사당동 105,105,both
서울특별시,동대문구,휘경동,57,주공1,84.84,202412,14,80000,3,2001,2024-12-14,휘경동주공1,1562,A13009002,휘경동57,휘경동 57,휘경주공1단지,휘경동주공1,휘경주공1단지,단지명 매칭,동결합선행,아파트,동일주소,인접단지,단지명: 주공1->휘경주공1단지,서울특별시 동대문구 한천로 248,분양,서울,동대문구,휘경동,57번지,한천로,248,2001-11-15,13.0,1224,127.0707607,37.5830037,222482943,222482944,,,위탁관리,계단식,개별난방,대한주택공사,"서한,신동아,두산",211420.0,116449.0,151661.0,0.0,800.0,424.0,,hgapt.co.kr,,2025-07-27 04:22:39,91202569171,위탁,단일계약,위탁,0.0,1786.0,의무,2018-07-25 17:55:10,Y,N,2013-03-07 09:46:40,휘경동 57,57,both
서울특별시,노원구,하계동,284,한신2,44.52,202412,13,46750,3,1988,2024-12-13,하계동한신2,1893,A13993503,하계동284,하계동 284,하계한신,하계동한신2,하계한신,단지명 매칭,동결합선행,아파트,동일주소,인접단지,"단지명: 한신1, 한신2->하계한신",서울특별시 노원구 공릉로 351,분양,서울,노원구,하계동,284,공릉로,351,1988-10-29,4.0,1200,127.068697,37.6377945,29726570,262216570,,,위탁관리,복도식,지역난방,한신공영,한신공영,55504.0,40914.0,54418.0,1200.0,0.0,0.0,,,,2025-07-27 04:44:12,21780003660,직영,단일계약,위탁,0.0,330.0,의무,2015-01-21 15:53:30,Y,N,2013-03-07 09:47:03,하계동 284,284,both
서울특별시,강남구,개포동,12,성원대치2단지아파트,49.86,202412,11,150000,6,1992,2024-12-11,성원대치2단지아파트,1656,A13524009,개포동12,개포동 12,개포대치2단지,성원대치2단지아파트,개포대치2단지,단지명 매칭,,아파트,동일주소,인접단지,단지명: 성원대치2단지아파트->개포대치2단지,서울특별시 강남구 개포로109길 9,분양,서울,강남구,개포동,대치2단지관리사무소,개포로109길,9,1992-10-14,11.0,1753,127.075508,37.4946695,02-451-4533,24593805,,,위탁관리,복도식,지역난방,성원건설.진덕산업주식회사,서울특별시도시개발공사,105381.0,71853.0,100906.0,1753.0,0.0,0.0,,,,2025-07-26 05:48:05,90700321531,위탁,단일계약,위탁,8294.61,511.0,의무,2018-05-24 16:14:49,Y,N,2013-03-07 09:46:36,개포동 12,12,both
서울특별시,동작구,사당동,105,사당우성3,84.66,202412,7,117000,3,1993,2024-12-07,사당우성3,1432,A15681501,사당동105,사당동 105,사당우성(4-3)아파트,사당우성3,사당우성3단지,단지명 매칭,,아파트,동일주소,인접단지,단지명: 사당우성3 ->,서울특별시 동작구 동작대로29길 115,분양,서울,동작구,사당동,사당우성3단지아파트 관리사무소,동작대로29길,115,1993-12-21,6.0,855,126.9764363,37.4886826,25327430,25946753,,,위탁관리,혼합식,중앙난방,우성건설(주),우성건설(주),90542.0,69743.0,90542.0,375.0,150.0,330.0,,https://openapt.seoul.go.kr/,,2025-07-27 05:37:05,90700275081,위탁,단일계약,위탁,0.0,896.0,의무,2019-04-08 14:39:26,Y,N,2013-03-07 09:46:29,사당동 105,105,both
서울특별시,동대문구,휘경동,57,주공1,84.84,202412,7,73700,1,2001,2024-12-07,휘경동주공1,1562,A13009002,휘경동57,휘경동 57,휘경주공1단지,휘경동주공1,휘경주공1단지,단지명 매칭,동결합선행,아파트,동일주소,인접단지,단지명: 주공1->휘경주공1단지,서울특별시 동대문구 한천로 248,분양,서울,동대문구,휘경동,57번지,한천로,248,2001-11-15,13.0,1224,127.0707607,37.5830037,222482943,222482944,,,위탁관리,계단식,개별난방,대한주택공사,"서한,신동아,두산",211420.0,116449.0,151661.0,0.0,800.0,424.0,,hgapt.co.kr,,2025-07-27 04:22:39,91202569171,위탁,단일계약,위탁,0.0,1786.0,의무,2018-07-25 17:55:10,Y,N,2013-03-07 09:46:40,휘경동 57,57,both
