complex_name,unmatched_count,gugun,dong,jibun
현대,450,동작구,신대방동,707
두산,386,서대문구,북아현동,1009
헬리오시티,362,송파구,가락동,913
파크리오,313,송파구,신천동,17
신동아,291,동대문구,용두동,779
삼성래미안,275,용산구,도원동,23
벽산,258,노원구,상계동,173-1
우성,234,중랑구,묵동,245-64
고덕그라시움,233,강동구,고덕동,693
한신,231,도봉구,도봉동,30-1
삼성,189,중구,신당동,843
올림픽훼밀리타운,183,송파구,문정동,150
고덕아르테온,179,강동구,상일동,519
대우,179,성동구,금호동4가,800
리센츠,177,송파구,잠실동,22
동아,170,서초구,잠원동,157
에스케이북한산시티,170,강북구,미아동,1353
대림e-편한세상,157,성동구,행당동,347
주공2,156,노원구,월계동,556
센트라스,151,성동구,하왕십리동,1070
롯데캐슬퍼스트,147,강동구,암사동,414-2
롯데캐슬,146,중구,황학동,2545
쌍용,144,성동구,성수동1가,706
녹번역e편한세상캐슬,143,은평구,응암동,769
래미안힐스테이트고덕,140,강동구,고덕동,688
대림,139,서초구,우면동,57
선사현대아파트,137,강동구,암사동,509
극동,137,강서구,염창동,246-23
성원,136,도봉구,쌍문동,53
경남아너스빌,134,양천구,신정동,1307
잠실엘스,131,송파구,잠실동,19
중앙하이츠,131,노원구,중계동,161-1
현대1,129,은평구,신사동,359
래미안위브,126,동대문구,답십리동,1003
주공아파트 5단지,125,송파구,잠실동,27
반포자이,120,서초구,반포동,20-43
남산타운,120,중구,신당동,844
DMC래미안e편한세상,117,서대문구,북가좌동,481
삼익,113,금천구,시흥동,5-13
동부센트레빌,112,용산구,이촌동,418
주공5,112,노원구,중계동,359-1
래미안솔베뉴,111,강동구,명일동,359
한진(609-1),111,성북구,돈암동,609-1
가락(1차)쌍용아파트,110,송파구,가락동,140
거산유팰리스2차,110,강동구,길동,414-9
중계그린1단지,110,노원구,중계동,502-1
도곡렉슬,109,강남구,도곡동,527
삼환,108,영등포구,영등포동8가,76-1
행당한진타운,108,성동구,행당동,346
강서힐스테이트,107,강서구,화곡동,1165
한진한화그랑빌,106,노원구,월계동,18
동남아이스타즈,104,강동구,길동,413-8
관악산휴먼시아2단지,104,관악구,신림동,1735
태강아파트(아이파크),104,노원구,공릉동,81
개포래미안포레스트,104,강남구,개포동,1282
트리지움,104,송파구,잠실동,35
정릉풍림아이원,103,성북구,정릉동,239
영등포푸르지오,99,영등포구,영등포동,647
옥수파크힐스101동~116동,99,성동구,옥수동,528
광진청년생활,99,광진구,화양동,18-12
DMC파크뷰자이1단지,99,서대문구,남가좌동,385
백련산에스케이뷰아이파크,96,은평구,응암동,767
삼익그린2차,95,강동구,명일동,15
구로두산,94,구로구,구로동,1265
한신아파트,93,동대문구,제기동,1212
아크로리버파크,93,서초구,반포동,2-12
보라매에스케이뷰,92,영등포구,신길동,4958
래미안퍼스티지,91,서초구,반포동,18-1
고덕센트럴IPARK,91,강동구,상일동,513
벽산블루밍,91,관악구,봉천동,1718
미성,90,은평구,신사동,140-1
한가람,89,용산구,이촌동,404
대흥동태영아파트,88,마포구,대흥동,660
래미안크레시티,88,동대문구,전농동,690
길음뉴타운2단지푸르지오,87,성북구,길음동,1280
마포그랑자이,87,마포구,대흥동,806
관악드림(동아),86,관악구,봉천동,1712
전농SK,86,동대문구,전농동,10
텐즈힐(1단지),86,성동구,하왕십리동,1066
고덕자이,86,강동구,상일동,521
현대홈타운,85,강동구,암사동,400
동아에코빌,85,성북구,상월곡동,101
힐스테이트 상도 센트럴파크,85,동작구,상도동,531
올림픽선수기자촌2단지,85,송파구,방이동,89
관악산벽산타운5,84,금천구,시흥동,1013
관악푸르지오,84,관악구,봉천동,1717
현대3,83,광진구,광장동,484
위례24단지(꿈에그린),83,송파구,장지동,901
