complex_name_meta,apt_unmatched_count,gugun,dong,road_address,addr_road_name,addr_road_detail,지번주소
(풍납)대동아파트,1,송파구,풍납동,서울특별시 송파구 풍성로15길 10,풍성로15길,10,풍납동172
신반포한신23차,1,서초구,반포동,,,,nan
신정학마을3단지,1,양천구,신정동,서울특별시 양천구 신정로 225-12,신정로,225-12,신정동1291
신정푸른마을4단지,1,양천구,신정동,서울특별시 양천구 신정로7길 60-7,신정로7길,1960-07-01 00:00:00,서울양천구신정로7길60-7
신정숲속마을아파트,1,양천구,신정동,,,,nan
신정동일하이빌,1,양천구,신정동,서울특별시 양천구 신정로11길 20,신정로11길,20,신정동1310
신정동 보람쉬움아파트,1,양천구,신정동,서울특별시 양천구 오목로35길 5,오목로35길,5,신정동921-11
신월신도브래뉴2차,1,양천구,신월동,,화곡로3길,,nan
신월성원,1,양천구,신월동,서울특별시 양천구 곰달래로2길 16,곰달래로2길,16,신월동222-7
신성아파트,1,은평구,신사동,서울특별시 은평구 증산로15길 67-7,증산로15길,1967-07-01 00:00:00,서울은평구증산로15길67-7
신사성원아파트,1,은평구,신사동,서울특별시 은평구 갈현로4길 26-5,갈현로4길,2025-05-26 00:00:00,서울은평구갈현로4길26-5
신사삼성래미안아파트,1,강남구,신사동,,,,nan
신반포한신14차,1,서초구,잠원동,,,,nan
신금호파크자이아파트,1,성동구,금호동2가,서울특별시 성동구 금호로 173,금호로,173,금호동2가1
신반포5차,1,서초구,잠원동,,,,nan
신반포22,1,서초구,잠원동,서울특별시 서초구 잠원로 86,잠원로,86,nan
신반포15차아파트,1,서초구,반포동,,,,nan
신목동파라곤아파트,1,양천구,신월동,서울특별시 양천구 오목로 55,오목로,55,신월동489-3
신림초원,1,관악구,신림동,서울특별시 관악구 미성5길 40,미성5길,40,신림동1712
신림신도브래뉴,1,관악구,신림동,서울특별시 관악구 조원로16길 7,조원로16길,7,신림동1723
신림건영2차,1,관악구,신림동,서울특별시 관악구 난곡로35길 28-7,난곡로35길,2025-07-28 00:00:00,서울관악구난곡로35길28-7
신내건영2차아파트,1,중랑구,상봉동,서울특별시 중랑구 신내로7길 20,신내로7길,20,신내동785
신길우창,1,영등포구,신길동,,,,nan
신길남서울,1,영등포구,신길동,서울특별시 영등포구 신길로 108,신길로,108,신길동3573
신촌럭키,1,서대문구,대현동,서울특별시 서대문구 이화여대길 50-12,이화여대길,1950-12-01 00:00:00,서울서대문구이화여대길50-12
쌍문경남,1,도봉구,쌍문동,서울특별시 도봉구 도봉로129길 45-12,도봉로129길,1945-12-01 00:00:00,서울도봉구도봉로129길45-12
쌍문금호2차,1,도봉구,쌍문동,서울특별시 도봉구 해등로 241-14,해등로,241-14,쌍문동69-1
쌍용남산플래티넘,1,중구,회현동2가,서울특별시 중구 소공로 46,소공로,46,회현동2가87
양평벽산,1,영등포구,양평동2가,서울특별시 영등포구 선유서로21길 19,선유서로21길,19,양평동2가23
양평동양,1,영등포구,양평동6가,서울특별시 영등포구 양평로30가길 15,양평로30가길,15,양평동6가100
양평동삼천리아파트,1,영등포구,양평동3가,서울특별시 영등포구 선유서로 115,선유서로,115,양평동3가24
양평동보아파트,1,영등포구,양평동5가,서울특별시 영등포구 양평로23길 18,양평로23길,18,양평동5가9-1
양평동6차현대아파트,1,영등포구,양평동3가,서울특별시 영등포구 선유로 207,선유로,207,양평동3가101
양평경남2차아너스빌,1,영등포구,양평동4가,서울특별시 영등포구 양평로17길 9,양평로17길,9,양평동4가51-1
양평경남1차,1,영등포구,양평동3가,서울특별시 영등포구 선유로33길 22,선유로33길,22,양평동3가55-1
양평거성파스텔,1,영등포구,양평동3가,서울특별시 영등포구 선유로43가길 24,선유로43가길,24,양평동3가90-1
양천중앙하이츠,1,양천구,신정동,서울특별시 양천구 목동남로2길 60-7,목동남로2길,1960-07-01 00:00:00,서울양천구목동남로2길60-7
약수역 더시티,1,중구,신당동,,,,nan
압구정하이츠파크,1,강남구,신사동,서울특별시 강남구 압구정로42길 78,압구정로42길,78,신사동632
안암삼익,1,성북구,안암동3가,서울특별시 성북구 안암로9길 30,안암로9길,30,안암동3가135
안암삼성래미안,1,성북구,안암동1가,서울특별시 성북구 고려대로17가길 64,고려대로17가길,64,안암동1가361
안암대광,1,성북구,안암동3가,서울특별시 성북구 안암로9나길 14,안암로9나길,14,안암동3가136-1
아크로타워스퀘어,1,영등포구,영등포동7가,서울특별시 영등포구 국회대로54길 10,국회대로54길,10,영등포동7가203
아크로삼성,1,강남구,삼성동,서울특별시 강남구 영동대로128길 15,영동대로128길,15,삼성동79
아크로 서울포레스트,1,성동구,성수동1가,서울특별시 성동구 왕십리로 83-21,왕십리로,83-21,성수동1가685-700
아스테리움용산,1,용산구,한강로2가,서울특별시 용산구 한강대로30길 25,한강대로30길,25,한강로2가419
아그네스풍림아이원,1,은평구,역촌동,,,,nan
쌍용예가클래식,1,서초구,방배동,서울특별시 서초구 방배로37길 26-9,방배로37길,2025-09-26 00:00:00,서울서초구방배로37길26-9
쌍용스위트닷홈임대,1,동작구,상도동,,,,nan
신길AK푸르지오주상복합,1,영등포구,신길동,서울특별시 영등포구 가마산로 483,가마산로,483,신길동255-9
신금호두산위브,1,성동구,금호동1가,서울특별시 성동구 행당로 27,행당로,27,금호동1가1818
상계코오롱,1,노원구,상계동,서울특별시 노원구 노원로26가길 25,노원로26가길,25,상계동1281
서초1차e편한세상,1,서초구,서초동,서울특별시 서초구 명달로6길 31,명달로6길,31,서초동1487-63
성수1차대우아파트,1,성동구,성수동2가,서울특별시 성동구 동일로 143,동일로,143,성수동2가279-50
성산월드타운대림,1,마포구,성산동,서울특별시 마포구 월드컵북로30길 9-22,월드컵북로30길,2025-09-22 00:00:00,서울마포구월드컵북로30길9-22
성내삼성,1,강동구,성내동,서울특별시 강동구 풍성로38길 22,풍성로38길,22,성내동589
성내2차e-편한세상,1,강동구,성내동,서울특별시 강동구 풍성로37길 55,풍성로37길,55,성내동137
서초포레스타7단지,1,서초구,신원동,서울특별시 서초구 청계산로11길 7-12,청계산로11길,2025-07-12 00:00:00,서울서초구청계산로11길7-12
서초포레스타6단지,1,서초구,신원동,서울특별시 서초구 청계산로9길 1-12,청계산로9길,2025-01-12 00:00:00,서울서초구청계산로9길1-12
서초롯데캐슬84아파트,1,서초구,서초동,서울특별시 서초구 사임당로17길 90,사임당로17길,90,서초동1642-14
서초래미안,1,서초구,서초동,서울특별시 서초구 서초대로65길 13-10,서초대로65길,2025-10-13 00:00:00,서울서초구서초대로65길13-10
서초더샵,1,서초구,서초동,서울특별시 서초구 서초중앙로2길 10,서초중앙로2길,10,서초동1426-5
서초3차e편한세상,1,서초구,서초동,서울특별시 서초구 남부순환로 2343-10,남부순환로,2343-10-01 00:00:00,서초동1467-37
